S. No.,State,District,AC,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
12,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC3927672,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.19 PH+AF0-,TDS+AFs-356.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
13,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC4621772,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.11 Mg/l+AF0-,Fluoride+AFs-0.55 Mg/l+AF0-,pH+AFs-7.21 PH+AF0-,TDS+AFs-288.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
14,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC47836,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.73 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
15,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC49818,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-321.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
16,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,Inside Habitation / SC150085898,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.79 Mg/l+AF0-,pH+AFs-7.06 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
17,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,Inside Habitation / SC150090636,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-323.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
18,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,T/W 7 / SC150145511,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.73 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-362.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
19,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,Nc/Pc Scheme For Tribeniganjl Block / SC4436149,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.54 Mg/l+AF0-,pH+AFs-7.16 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
20,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,SC150002122,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.83 Mg/l+AF0-,pH+AFs-7.33 PH+AF0-,TDS+AFs-323.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
21,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Inside Habitation / SC150085897,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.66 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
22,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Inside Habitation / SC150090635,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.76 Mg/l+AF0-,pH+AFs-7.16 PH+AF0-,TDS+AFs-292.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
23,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Nc/Pc Scheme For Tribeniganjl Block / SC4436150,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.12 PH+AF0-,TDS+AFs-288.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
24,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Primary School Dumariya 20 / SC5015877,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-328.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
25,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,SC150002121,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.76 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-326.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
26,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,Inside Habitation / SC150085896,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.62 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-317.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
27,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,Inside Habitation / SC150090634,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.81 Mg/l+AF0-,pH+AFs-7.28 PH+AF0-,TDS+AFs-328.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
28,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,Nc/Pc Scheme For Tribeniganjl Block / SC4436151,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.15 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.25 PH+AF0-,TDS+AFs-392.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
29,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,Inside Habitation / SC150085901,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-328.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
30,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,Inside Habitation / SC150090638,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.71 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
31,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,T/W 8 / SC150145512,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.84 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-382.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
32,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,Nc/Pc Scheme For Tribeniganjl Block / SC4436152,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.74 Mg/l+AF0-,pH+AFs-7.22 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
33,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC150002119,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.22 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-329.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
34,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,Inside Habitation / SC150085894,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.17 Mg/l+AF0-,Fluoride+AFs-0.89 Mg/l+AF0-,pH+AFs-7.31 PH+AF0-,TDS+AFs-359.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
35,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,Inside Habitation / SC150085895,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.17 Mg/l+AF0-,Fluoride+AFs-0.81 Mg/l+AF0-,pH+AFs-7.22 PH+AF0-,TDS+AFs-316.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
36,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,Inside Habitation / SC150090633,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.68 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-345.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
37,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC1741663,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-317.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
38,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC3927670,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.15 PH+AF0-,TDS+AFs-326.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
39,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC4621770,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.12 PH+AF0-,TDS+AFs-311.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
