"S. No.","State","District","AC","Block","Panchayat","Village","Habitation","Location","Type Of Source","Lab Name","Testing Date","Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*)","Below Permissible Limit (Mandatory*)","Above Permissible Limit (Emerging / Other**)","Below Permissible Limit (Emerging / Other**)"
147,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TADHWA NANDPUR","TADHWANANDPUR","DANI TOLA","SC1715846","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.11 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
148,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TADHWA NANDPUR","TADHWANANDPUR","JAI RAUT KE TOLA","Nc/Pc Scheme For Bairia Block / SC4448018","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.75 Mg/l],pH[7.23 PH],TDS[348.00 Mg/l]",,"Turbidity[2.00 NTU]"
149,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TADHWA NANDPUR","TADHWANANDPUR","KAHNI TOLA","Nc/Pc Scheme For Bairia Block / SC4448019","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.16 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
150,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TADHWA NANDPUR","TADHWANANDPUR","KOSHAL ROY KE TOLA","SC1715780","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.16 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
151,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TADHWA NANDPUR","TADHWANANDPUR","LAKNI TOLA","Inside Habitation / SC1715850","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.66 Mg/l],pH[7.21 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
152,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TADHWA NANDPUR","TADHWANANDPUR","T. NATH TOLA","Nc/Pc Scheme For Bairia Block / SC4448020","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.16 PH],TDS[374.00 Mg/l]",,"Turbidity[1.00 NTU]"
153,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TADHWA NANDPUR","TADHWANANDPUR","TADHWANANDPUR","SC1715859","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.63 Mg/l],pH[7.21 PH],TDS[369.00 Mg/l]",,"Turbidity[1.00 NTU]"
154,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","MALKAULI","GADAINIYA TOLA","Nc/Pc Scheme For Bairia Block / SC4448021","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[358.00 Mg/l]",,"Turbidity[1.00 NTU]"
155,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","MALKAULI","KOHAR TOLA","Nc/Pc Scheme For Bairia Block / SC4448022","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.47 Mg/l],pH[7.22 PH],TDS[375.00 Mg/l]",,"Turbidity[2.00 NTU]"
156,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","MALKAULI","MALKULI TOLA","Nc/Pc Scheme For Bairia Block / SC4448023","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[386.00 Mg/l]",,"Turbidity[2.00 NTU]"
157,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","MOTIHARI","DUSAD TOLA","Nc/Pc Scheme For Bairia Block / SC4448024","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.69 Mg/l],pH[7.20 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
158,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","MOTIHARI","MOTI RAM TOLA (E)","Nc/Pc Scheme For Bairia Block / SC4448025","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.45 Mg/l],pH[7.11 PH],TDS[374.00 Mg/l]",,"Turbidity[1.00 NTU]"
159,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","MOTIHARI","MOTIHARI","Nc/Pc Scheme For Bairia Block / SC4448026","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[396.00 Mg/l]",,"Turbidity[2.00 NTU]"
160,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","PAT KHAULI","PATKHALI","Nc/Pc Scheme For Bairia Block / SC4448027","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.12 PH],TDS[389.00 Mg/l]",,"Turbidity[1.00 NTU]"
161,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","PAT KHAULI","ZOLAHA TOLA","Nc/Pc Scheme For Bairia Block / SC4448028","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.69 Mg/l],pH[7.12 PH],TDS[396.00 Mg/l]",,"Turbidity[1.00 NTU]"
162,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","TOLA TUMKARAIA","AHIR TOLA","Nc/Pc Scheme For Bairia Block / SC4448029","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.47 Mg/l],pH[7.12 PH],TDS[358.00 Mg/l]",,"Turbidity[1.00 NTU]"
163,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","TOLA TUMKARAIA","J. C. CHAUDARY KE TOLA EAST","Nc/Pc Scheme For Bairia Block / SC4448030","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.10 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
164,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","TOLA TUMKARAIA","J. C. CHAUDARY KE TOLA WEST","Nc/Pc Scheme For Bairia Block / SC4448031","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.12 PH],TDS[356.00 Mg/l]",,"Turbidity[2.00 NTU]"
165,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","TOLA TUMKARAIA","T. CHAK SOUTH TOLA","Nc/Pc Scheme For Bairia Block / SC4448032","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.35 Mg/l],pH[7.22 PH],TDS[386.00 Mg/l]",,"Turbidity[1.00 NTU]"
166,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","TOLA TUMKARAIA","TUMKARIYA TOLA","Inside Habitation / SC150117135","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.66 Mg/l],pH[7.22 PH],TDS[356.00 Mg/l]",,"Turbidity[2.00 NTU]"
167,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","TUMKARIYA","TOLA TUMKARAIA","TUMKARIYA TOLA","Nc/Pc Scheme For Bairia Block / SC4448033","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.41 Mg/l],pH[7.13 PH],TDS[347.00 Mg/l]",,"Turbidity[1.00 NTU]"
168,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","BANRAHI","Nc/Pc Scheme For Bairia Block / SC4448034","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.64 Mg/l],pH[7.12 PH],TDS[274.00 Mg/l]",,"Turbidity[1.00 NTU]"
169,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","BAZAR TOLA","Nc/Pc Scheme For Bairia Block / SC4448035","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.41 Mg/l],pH[7.02 PH],TDS[341.00 Mg/l]",,"Turbidity[1.00 NTU]"
170,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","BIN TOLA","SC1715865","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.25 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
171,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","BRAM TOLA","Nc/Pc Scheme For Bairia Block / SC4448036","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.87 Mg/l],pH[7.11 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
172,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","DOM TOLA","Nc/Pc Scheme For Bairia Block / SC4448037","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[6.86 PH],TDS[374.00 Mg/l]",,"Turbidity[2.00 NTU]"
173,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","GADIYANI","SC1715872","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.28 Mg/l],Fluoride[0.47 Mg/l],pH[7.15 PH],TDS[347.00 Mg/l]",,"Turbidity[1.00 NTU]"
174,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","KOLOHAGHAT","Inside Habitation / SC150117161","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.15 Mg/l],Fluoride[0.39 Mg/l],pH[7.12 PH],TDS[312.00 Mg/l]",,"Turbidity[1.00 NTU]"
175,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","KOLOHAGHAT","SC1715916","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.38 Mg/l],pH[7.02 PH],TDS[269.00 Mg/l]",,"Turbidity[1.00 NTU]"
176,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","MALLAH TOLA","Nc/Pc Scheme For Bairia Block / SC4448038","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.74 Mg/l],pH[7.18 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
177,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","MARCHIYA","Nc/Pc Scheme For Bairia Block / SC4448039","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.74 Mg/l],pH[7.15 PH],TDS[348.00 Mg/l]",,"Turbidity[1.00 NTU]"
178,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","MUSHAR TOLLA","SC1715933","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.75 Mg/l],pH[7.11 PH],TDS[348.00 Mg/l]",,"Turbidity[1.00 NTU]"
179,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","NAYAGHAT","Nc/Pc Scheme For Bairia Block / SC4448040","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.27 Mg/l],Fluoride[0.45 Mg/l],pH[7.12 PH],TDS[373.00 Mg/l]",,"Turbidity[1.00 NTU]"
180,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","NIMIYA TOLA","Nc/Pc Scheme For Bairia Block / SC4448041","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.69 Mg/l],pH[7.21 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
181,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","PUJAHA","Nc/Pc Scheme For Bairia Block / SC4448042","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.60 Mg/l],pH[6.98 PH],TDS[394.00 Mg/l]",,"Turbidity[2.00 NTU]"
182,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","PUJAHA","SC4664671","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.02 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
183,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","RAKHI","SC1715969","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.21 PH],TDS[359.00 Mg/l]",,"Turbidity[1.00 NTU]"
184,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","SHEKH TOLA","SC1715974","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.36 Mg/l],pH[6.94 PH],TDS[369.00 Mg/l]",,"Turbidity[1.00 NTU]"
185,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","UATRI PATJARWA","Inside Habitation / SC150117182","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.47 Mg/l],pH[7.21 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
186,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","UTTARI PATJIRWA","UATRI PATJARWA","UATRI PATJARWA","SC1715978","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.63 Mg/l],pH[7.21 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
187,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","KHAINAS TOLA","Nc/Pc Scheme For Gaunaha Block / SC4448469","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.53 Mg/l],pH[7.22 PH],TDS[382.00 Mg/l]",,"Turbidity[2.00 NTU]"
188,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","KHAINAS TOLA","SC5649795","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.68 Mg/l],pH[7.12 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
189,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","NAYA TOLA","Nc/Pc Scheme For Gaunaha Block / SC4448470","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.85 Mg/l],pH[7.12 PH],TDS[353.00 Mg/l]",,"Turbidity[1.00 NTU]"
190,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","NAYA TOLA","SC5649794","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.27 Mg/l],Fluoride[0.45 Mg/l],pH[7.24 PH],TDS[396.00 Mg/l]",,"Turbidity[2.00 NTU]"
191,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","POKHRI TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448471","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.62 Mg/l],pH[7.15 PH],TDS[347.00 Mg/l]",,"Turbidity[1.00 NTU]"
192,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","POKHRI TOLI","SC5649793","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.27 Mg/l],Fluoride[0.48 Mg/l],pH[7.15 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
193,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","SEMRI","Nc/Pc Scheme For Gaunaha Block / SC4448472","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.14 PH],TDS[386.00 Mg/l]",,"Turbidity[1.00 NTU]"
194,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","SEMRI","SC5649792","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.28 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[376.00 Mg/l]",,"Turbidity[1.00 NTU]"
195,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","SHIWMANDIR","Nc/Pc Scheme For Gaunaha Block / SC4448473","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.22 Mg/l],Fluoride[0.56 Mg/l],pH[7.19 PH],TDS[359.00 Mg/l]",,"Turbidity[1.00 NTU]"
196,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","SHIWMANDIR","SC5649791","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.14 PH],TDS[368.00 Mg/l]",,"Turbidity[1.00 NTU]"
197,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","SEMRI","SONRI DAKHIN TOLA","Nc/Pc Scheme For Gaunaha Block / SC4448474","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.57 Mg/l],pH[7.16 PH],TDS[384.00 Mg/l]",,"Turbidity[1.00 NTU]"
198,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","TARA","BICHLI TOLI","Near Braham Sthan / SC150143598","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[382.00 Mg/l]",,"Turbidity[1.00 NTU]"
199,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","TARA","BICHLI TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448475","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.65 Mg/l],pH[7.25 PH],TDS[385.00 Mg/l]",,"Turbidity[2.00 NTU]"
200,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","TARA","HARIJAN TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448476","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.69 Mg/l],pH[7.24 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
201,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SEMARI DUMARI","TARA","TARA","Nc/Pc Scheme For Gaunaha Block / SC4448477","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.73 Mg/l],pH[7.15 PH],TDS[384.00 Mg/l]",,"Turbidity[1.00 NTU]"
202,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","BARHARWA","BARHARWA","Near School / SC150143599","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.41 Mg/l],pH[7.11 PH],TDS[347.00 Mg/l]",,"Turbidity[1.00 NTU]"
203,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","BARHARWA","BARHARWA","Nc/Pc Scheme For Gaunaha Block / SC4448478","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.53 Mg/l],pH[7.22 PH],TDS[382.00 Mg/l]",,"Turbidity[2.00 NTU]"
204,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","BARHARWA","BARHARWA","Inside Habitation / SC5649790","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.65 Mg/l],pH[7.21 PH],TDS[386.00 Mg/l]",,"Turbidity[1.00 NTU]"
205,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","MASJIDWA","MASZIDBA","Nc/Pc Scheme For Gaunaha Block / SC4448479","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.54 Mg/l],pH[7.11 PH],TDS[389.00 Mg/l]",,"Turbidity[1.00 NTU]"
206,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","MASJIDWA","MASZIDBA","Inside Habitation / SC4590354","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.47 Mg/l],pH[7.15 PH],TDS[384.00 Mg/l]",,"Turbidity[1.00 NTU]"
207,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","MASJIDWA","MASZIDBA","Inside Habitation / SC5649789","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.95 Mg/l],pH[7.21 PH],TDS[386.00 Mg/l]",,"Turbidity[1.00 NTU]"
208,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","MATIARIA","MATIARIYA","Inside Habitation / SC1718626","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.51 Mg/l],pH[7.11 PH],TDS[348.00 Mg/l]",,"Turbidity[1.00 NTU]"
209,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","MATIARIA","MATIARIYA","Inside Habitation / SC5649787","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.96 Mg/l],pH[7.14 PH],TDS[388.00 Mg/l]",,"Turbidity[1.00 NTU]"
210,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","MATIARIA","MATIARIYA","Inside Habitation / SC5649788","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.69 Mg/l],pH[7.21 PH],TDS[415.00 Mg/l]",,"Turbidity[1.00 NTU]"
211,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","PAHKAUL","PAHAKAUL","Nc/Pc Scheme For Gaunaha Block / SC4448480","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.21 PH],TDS[354.00 Mg/l]",,"Turbidity[1.00 NTU]"
212,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","PAHKAUL","PAHAKAUL","SC5649786","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.27 Mg/l],Fluoride[0.84 Mg/l],pH[7.15 PH],TDS[357.00 Mg/l]",,"Turbidity[1.00 NTU]"
213,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","SERAHWA","SHERAHBA","Nc/Pc Scheme For Gaunaha Block / SC4448481","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.95 Mg/l],pH[7.11 PH],TDS[386.00 Mg/l]",,"Turbidity[1.00 NTU]"
214,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","SERAHWA","SHERAHBA","SC5649785","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.45 Mg/l],pH[7.12 PH],TDS[374.00 Mg/l]",,"Turbidity[1.00 NTU]"
215,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","SHERPUR","SHERPUR","Near Pepal Tree / SC150143601","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.30 Mg/l],Fluoride[0.74 Mg/l],pH[7.15 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
216,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","SHERPUR","SHERPUR","Nc/Pc Scheme For Gaunaha Block / SC4448482","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.41 Mg/l],pH[7.22 PH],TDS[346.00 Mg/l]",,"Turbidity[2.00 NTU]"
217,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","SHERPUR","SHERPUR","Inside Habitation / SC5649784","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.54 Mg/l],pH[7.15 PH],TDS[382.00 Mg/l]",,"Turbidity[1.00 NTU]"
