S. No,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*,Below Permissible Limit (Mandatory*),Above Permissibl Limit (Emerging / Other**),Below Permissibl Limit (Emerging / Other**)
111,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,BHATAULIA,BAHATWALIA,SC1715749,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.47 Mg/l],pH[7.15 PH],TDS[374.00 Mg/l]",,Turbidity[1.00 NTU]
112,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,BHATAULIA,GUDIYANI,Nc/Pc Scheme For Bairia Block / SC4447990,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.65 Mg/l],pH[7.10 PH],TDS[392.00 Mg/l]",,Turbidity[1.00 NTU]
113,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MAJHARIYA,MAJHARIA,Nc/Pc Scheme For Bairia Block / SC4447991,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.74 Mg/l],pH[7.15 PH],TDS[348.00 Mg/l]",,Turbidity[1.00 NTU]
114,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MAJHARIYA,MAJHARIA,SC4664653,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[395.00 Mg/l]",,Turbidity[2.00 NTU]
115,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MAJHARIYA,NAWKA TOLA,Nc/Pc Scheme For Bairia Block / SC4447992,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.66 Mg/l],pH[7.15 PH],TDS[397.00 Mg/l]",,Turbidity[1.00 NTU]
116,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MAJHARIYA,REFUGI COLONY,Nc/Pc Scheme For Bairia Block / SC4447993,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.16 PH],TDS[384.00 Mg/l]",,Turbidity[1.00 NTU]
117,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MATHAULI,BARWABARI,SC1715754,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.24 PH],TDS[385.00 Mg/l]",,Turbidity[2.00 NTU]
118,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MATHAULI,GADHIYANI,Nc/Pc Scheme For Bairia Block / SC4447994,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.74 Mg/l],pH[7.11 PH],TDS[345.00 Mg/l]",,Turbidity[1.00 NTU]
119,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MATHAULI,HARIZAN TOLA,Nc/Pc Scheme For Bairia Block / SC4447995,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.25 Mg/l],Fluoride[0.55 Mg/l],pH[7.13 PH],TDS[386.00 Mg/l]",,Turbidity[1.00 NTU]
120,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MATHAULI,KURMI TOLA,Nc/Pc Scheme For Bairia Block / SC4447996,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.68 Mg/l],pH[7.32 PH],TDS[386.00 Mg/l]",,Turbidity[2.00 NTU]
121,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,MATHAULI,MATHAULI,Nc/Pc Scheme For Bairia Block / SC4447997,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.25 Mg/l],Fluoride[0.87 Mg/l],pH[7.16 PH],TDS[348.00 Mg/l]",,Turbidity[1.00 NTU]
122,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,SISWA SAREA,MUKHIYA TOLA WEST,SC1715761,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.54 Mg/l],pH[7.15 PH],TDS[384.00 Mg/l]",,Turbidity[1.00 NTU]
123,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,SISWA SAREA,OJHWLIYA,Nc/Pc Scheme For Bairia Block / SC4447998,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.35 Mg/l],pH[7.26 PH],TDS[383.00 Mg/l]",,Turbidity[2.00 NTU]
124,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,SISWA SAREA,SARIYA,Nc/Pc Scheme For Bairia Block / SC4447999,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.63 Mg/l],pH[7.12 PH],TDS[347.00 Mg/l]",,Turbidity[1.00 NTU]
125,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,SISWA SAREA,SARIYA MAN ROAD,Nc/Pc Scheme For Bairia Block / SC4448000,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.54 Mg/l],pH[7.22 PH],TDS[385.00 Mg/l]",,Turbidity[2.00 NTU]
126,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SISWA SAREYA,SISWA SAREA,SISWA,SC1715766,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.57 Mg/l],pH[7.16 PH],TDS[384.00 Mg/l]",,Turbidity[1.00 NTU]
127,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,BANGHI,Nc/Pc Scheme For Bairia Block / SC4448001,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.58 Mg/l],pH[7.11 PH],TDS[384.00 Mg/l]",,Turbidity[1.00 NTU]
128,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,BANGHI W,Nc/Pc Scheme For Bairia Block / SC4448002,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.69 Mg/l],pH[7.16 PH],TDS[415.00 Mg/l]",,Turbidity[1.00 NTU]
129,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,DUSAD TOLA,Nc/Pc Scheme For Bairia Block / SC4448003,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.27 Mg/l],Fluoride[0.43 Mg/l],pH[7.11 PH],TDS[396.00 Mg/l]",,Turbidity[1.00 NTU]
130,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,KAMAL MAHTO KE TOLA,Nc/Pc Scheme For Bairia Block / SC4448004,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[378.00 Mg/l]",,Turbidity[1.00 NTU]
131,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,KOIPATI,Nc/Pc Scheme For Bairia Block / SC4448005,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.65 Mg/l],pH[7.21 PH],TDS[382.00 Mg/l]",,Turbidity[1.00 NTU]
132,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,MASANDHAB SINGHI,Nc/Pc Scheme For Bairia Block / SC4448006,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.22 PH],TDS[359.00 Mg/l]",,Turbidity[2.00 NTU]
133,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,MASANDHAB SINGHI,SC4664656,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.56 Mg/l],pH[7.21 PH],TDS[385.00 Mg/l]",,Turbidity[1.00 NTU]
134,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,MASAN DHAB,RADIYANI TOLA,Nc/Pc Scheme For Bairia Block / SC4448007,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.62 Mg/l],pH[7.12 PH],TDS[359.00 Mg/l]",,Turbidity[1.00 NTU]
135,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,SURAJPUR,GADIYAI,Nc/Pc Scheme For Bairia Block / SC4448008,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.69 Mg/l],pH[7.14 PH],TDS[386.00 Mg/l]",,Turbidity[1.00 NTU]
136,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,SURAJPUR,KORIPATI,Nc/Pc Scheme For Bairia Block / SC4448009,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.65 Mg/l],pH[7.23 PH],TDS[395.00 Mg/l]",,Turbidity[2.00 NTU]
137,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,SURAJPUR,MUSHAR TOLA,Nc/Pc Scheme For Bairia Block / SC4448010,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.12 PH],TDS[356.00 Mg/l]",,Turbidity[1.00 NTU]
138,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,SURAJPUR,PAYRAHI YADAV KE TOLA,Nc/Pc Scheme For Bairia Block / SC4448011,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.15 PH],TDS[384.00 Mg/l]",,Turbidity[1.00 NTU]
139,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,SURYAPUR,SURAJPUR,SURAJPUR,Nc/Pc Scheme For Bairia Block / SC4448012,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.28 Mg/l],Fluoride[0.84 Mg/l],pH[7.16 PH],TDS[357.00 Mg/l]",,Turbidity[1.00 NTU]
140,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWA NANDPUR,BARGACHHIYA,SC1715771,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.69 Mg/l],pH[7.24 PH],TDS[355.00 Mg/l]",,Turbidity[2.00 NTU]
141,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWA NANDPUR,KHALWA TOLA,Nc/Pc Scheme For Bairia Block / SC4448013,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.58 Mg/l],pH[7.01 PH],TDS[384.00 Mg/l]",,Turbidity[1.00 NTU]
142,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWA NANDPUR,MATHURA PD. KA TOLA,Nc/Pc Scheme For Bairia Block / SC4448014,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.69 Mg/l],pH[7.16 PH],TDS[396.00 Mg/l]",,Turbidity[1.00 NTU]
143,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWA NANDPUR,NAWKA TOLA,Nc/Pc Scheme For Bairia Block / SC4448015,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.43 Mg/l],pH[7.03 PH],TDS[365.00 Mg/l]",,Turbidity[1.00 NTU]
144,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWA NANDPUR,POKHAR TOLA,Nc/Pc Scheme For Bairia Block / SC4448016,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.47 Mg l],pH[7.13 PH],TDS[375.00 Mg/l] 6",,Turbidity[1.00 NTU]
145,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWA NANDPUR,TADHWA NANDPUR,Nc/Pc Scheme For Bairia Block / SC4448017,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.15 Mg/l],Fluoride[0.46 Mg/l],pH[7.22 PH],TDS[372.00 Mg/l]",,Turbidity[2.00 NTU]
146,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,BRATA TOLA,Inside Habitation / SC1715775,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.62 Mg/l],pH[7.22 PH],TDS[353.00 Mg/l]",,Turbidity[2.00 NTU]
