S. No,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*,Below Permissible Limit (Mandatory*),Above Permissibl Limit (Emerging / Other**),Below Permissibl Limit (Emerging / Other**)
172,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,DOM TOLA,Nc/Pc Scheme For Bairia Block / SC4448037,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[6.86 PH],TDS[374.00 Mg/l]",,Turbidity[2.00 NTU]
173,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,GADIYANI,SC1715872,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.28 Mg/l],Fluoride[0.47 Mg/l],pH[7.15 PH],TDS[347.00 Mg/l]",,Turbidity[1.00 NTU]
174,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,KOLOHAGHAT,Inside Habitation / SC150117161,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.15 Mg/l],Fluoride[0.39 Mg/l],pH[7.12 PH],TDS[312.00 Mg/l]",,Turbidity[1.00 NTU]
175,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,KOLOHAGHAT,SC1715916,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.38 Mg/l],pH[7.02 PH],TDS[269.00 Mg/l]",,Turbidity[1.00 NTU]
176,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,MALLAH TOLA,Nc/Pc Scheme For Bairia Block / SC4448038,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.74 Mg/l],pH[7.18 PH],TDS[378.00 Mg/l]",,Turbidity[1.00 NTU]
177,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,MARCHIYA,Nc/Pc Scheme For Bairia Block / SC4448039,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.74 Mg/l],pH[7.15 PH],TDS[348.00 Mg/l]",,Turbidity[1.00 NTU]
178,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,MUSHAR TOLLA,SC1715933,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.75 Mg/l],pH[7.11 PH],TDS[348.00 Mg/l]",,Turbidity[1.00 NTU]
179,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,NAYAGHAT,Nc/Pc Scheme For Bairia Block / SC4448040,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.27 Mg/l],Fluoride[0.45 Mg/l],pH[7.12 PH],TDS[373.00 Mg/l]",,Turbidity[1.00 NTU]
180,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,NIMIYA TOLA,Nc/Pc Scheme For Bairia Block / SC4448041,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.69 Mg/l],pH[7.21 PH],TDS[395.00 Mg/l]",,Turbidity[1.00 NTU]
181,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,PUJAHA,Nc/Pc Scheme For Bairia Block / SC4448042,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.60 Mg/l],pH[6.98 PH],TDS[394.00 Mg/l]",,Turbidity[2.00 NTU]
182,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,PUJAHA,SC4664671,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.02 PH],TDS[378.00 Mg/l]",,Turbidity[1.00 NTU]
183,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,RAKHI,SC1715969,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.21 PH],TDS[359.00 Mg/l]",,Turbidity[1.00 NTU]
184,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,SHEKH TOLA,SC1715974,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.36 Mg/l],pH[6.94 PH],TDS[369.00 Mg/l]",,Turbidity[1.00 NTU]
185,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,UATRI PATJARWA,Inside Habitation / SC150117182,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.47 Mg/l],pH[7.21 PH],TDS[378.00 Mg/l]",,Turbidity[1.00 NTU]
186,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,UATRI PATJARWA,SC1715978,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.63 Mg/l],pH[7.21 PH],TDS[395.00 Mg/l]",,Turbidity[1.00 NTU]
187,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,KHAINAS TOLA,Nc/Pc Scheme For Gaunaha Block / SC4448469,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.53 Mg/l],pH[7.22 PH],TDS[382.00 Mg/l]",,Turbidity[2.00 NTU]
188,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,KHAINAS TOLA,SC5649795,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.68 Mg/l],pH[7.12 PH],TDS[395.00 Mg/l]",,Turbidity[1.00 NTU]
189,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,NAYA TOLA,Nc/Pc Scheme For Gaunaha Block / SC4448470,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.85 Mg/l],pH[7.12 PH],TDS[353.00 Mg/l]",,Turbidity[1.00 NTU]
190,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,NAYA TOLA,SC5649794,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.27 Mg/l],Fluoride[0.45 Mg/l],pH[7.24 PH],TDS[396.00 Mg/l]",,Turbidity[2.00 NTU]
191,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,POKHRI TOLI,Nc/Pc Scheme For Gaunaha Block / SC4448471,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.62 Mg/l],pH[7.15 PH],TDS[347.00 Mg/l]",,Turbidity[1.00 NTU]
192,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,POKHRI TOLI,SC5649793,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.27 Mg/l],Fluoride[0.48 Mg/l],pH[7.15 PH],TDS[378.00 Mg/l]",,Turbidity[1.00 NTU]
193,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,SEMRI,Nc/Pc Scheme For Gaunaha Block / SC4448472,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.14 PH],TDS[386.00 Mg/l]",,Turbidity[1.00 NTU]
194,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,SEMRI,SC5649792,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.28 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[376.00 Mg/l]",,Turbidity[1.00 NTU]
195,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,SHIWMANDIR,Nc/Pc Scheme For Gaunaha Block / SC4448473,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.22 Mg/l],Fluoride[0.56 Mg/l],pH[7.19 PH],TDS[359.00 Mg/l]",,Turbidity[1.00 NTU]
196,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,SHIWMANDIR,SC5649791,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.14 PH],TDS[368.00 Mg/l]",,Turbidity[1.00 NTU]
197,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,SEMRI,SONRI DAKHIN TOLA,Nc/Pc Scheme For Gaunaha Block / SC4448474,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.57 Mg/l],pH[7.16 PH],TDS[384.00 Mg/l]",,Turbidity[1.00 NTU]
198,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,TARA,BICHLI TOLI,Near Braham Sthan / SC150143598,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.25 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[382.00 Mg/l]",,Turbidity[1.00 NTU]
199,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,TARA,BICHLI TOLI,Nc/Pc Scheme For Gaunaha Block / SC4448475,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.65 Mg/l],pH[7.25 PH],TDS[385.00 Mg/l]",,Turbidity[2.00 NTU]
200,BIHAR,PASHCHIM CHAMPARAN,GAUNAHA,SEMARI DUMARI,TARA,HARIJAN TOLI,Nc/Pc Scheme For Gaunaha Block / SC4448476,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.69 Mg/l],pH[7.24 PH],TDS[395.00 Mg/l]",,Turbidity[2.00 NTU]
