S. No.,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
312,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MALAHI,HARIJAN TOLI / SC150121715,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-415.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
313,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MALAHI,SC1720337,Shallow Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-447.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
314,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MOTIPUR,SC1720348,Shallow Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.88 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
315,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MOTIPUR,U.M.S. Moti Tola Thakrahan / SC2524732,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
316,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MOTIPUR,P.S. Uma Tola / SC2524758,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
317,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MOTIPUR,P.S. Nautan Gurwalia Rupa Tola / SC2524763,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-411.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
318,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MOTIPUR,U.M.S. Nautan Guruwalia Mishra Tola / SC2526071,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.89 Mg/l+AF0-,pH+AFs-7.21 PH+AF0-,TDS+AFs-523.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
319,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,MOTIPUR,P.S. Bhagwan Pur / SC2526102,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.96 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-523.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
320,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,THAKRAHA,INSIDE HABITATION / SC150121741,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.21 Mg/l+AF0-,Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.20 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
321,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,THAKRAHA,NEAR MASJID / SC150121742,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.86 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-523.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
322,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,THAKRAHA,SC1720354,Shallow Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.86 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-523.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
323,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,THAKRAHA,M.S. Thakrahan Balak / SC2522124,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.98 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-520.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
324,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,THAKRAHA,M.S. Thakrahan Kanya / SC2522125,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.96 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-522.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
325,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,THAKRAHA,P.S. Kanwa Patti / SC2524756,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-523.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
326,BIHAR,PASHCHIM CHAMPARAN,THAKRAHAN,THAKRAHA,THAKRAHA,THAKRAHA,P.S. Khan Tola Thakrahan / SC2524757,Deep Tubewell,PASHCHIM CHAMPARAN,19/05/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.86 Mg/l+AF0-,pH+AFs-7.20 PH+AF0-,TDS+AFs-523.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
