id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,1,BIJBANIA,BIJBANIYA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004769605)
2,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,2,BIJBANIA,BIJBANIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546183)
3,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,3,BIJBANIA,MIDLE VILLAGE,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546184)
4,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,4,DHAMINHA,DHAMINAHA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970893)
5,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,5,DHAMINHA,DHAMINAHA,Deep tubewell,Ground Water,P.S. DHAMINHA,HandPump,School Scheme(0006573714)
6,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,6,DHAMINHA,H. TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546185)
7,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,7,DHAMINHA,MID VILLAGE,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546186)
8,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,8,DHAMINHA,UTTAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546187)
9,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,9,HARSARI,HARIJAN TOLI,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970898)
10,Pashchim Champaran,Narkatiaganj,NARKATIAGANJ,PURAINIYA,10,HARSARI,HARSARI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546188)
