id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,"""Location""",Type,Scheme Name
1,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,1,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
2,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,2,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
3,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,3,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR- 2(0005702908)
4,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,4,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR- 2(0005702908)
5,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,5,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
6,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,6,KACHHWI,BATHNAHA,Deep tubewell,Ground Water,Location,HandPump,Parthmik Vidyal(0000046052)
7,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,7,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
8,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,8,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
9,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,9,KACHHWI,BATHNAHA,Deep tubewell,Ground Water,Location,HandPump,Spot Source (Ht) Scheme(0004690599)
10,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,10,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
11,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,11,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006535106)
12,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,12,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
13,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,13,KACHHWI,BISHAN PATTI,Deep tubewell,Ground Water,Location,HandPump,Spot Sourse(0001974174)
14,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,14,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,Location,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
