Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme
1,DACHEN PATJARWA,BIN Tola,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544261)
2,DACHEN PATJARWA,DACHEN PATZARWA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959323)
3,DACHEN PATJARWA,GORRAHIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544262)
4,DACHEN PATJARWA,JAHWA TOLA,Shallow tubewell,Ground Water,Inside Habitation,HandPump,COVERAGE IN PC TOLA IN 2012+AC0- 13(0004734716)
5,DACHEN PATJARWA,JAHWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544263)
6,DACHEN PATJARWA,LALA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544264)
7,DACHEN PATJARWA,RANHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544265)
