S. No.,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
11,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHANUK TOLA,Near / SC3991782,Deep Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.57 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-394.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
12,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHANUK TOLA,Near / SC3991782,Deep Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.25 Mg/l+AF0-,Fluoride+AFs-0.88 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-458.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
13,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHANUK TOLA,Near / SC46021,Deep Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.98 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-554.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
14,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHANUK TOLA,Near / SC46021,Deep Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.84 Mg/l+AF0-,pH+AFs-7.32 PH+AF0-,TDS+AFs-399.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
15,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHANUK TOLA,Near / SC5596063,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.98 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-458.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
16,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHANUK TOLA,Near / SC5596063,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.25 Mg/l+AF0-,Fluoride+AFs-0.47 Mg/l+AF0-,pH+AFs-7.15 PH+AF0-,TDS+AFs-398.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
17,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHUBI TOLA,NEAR ROAD / SC3991781,Deep Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.25 Mg/l+AF0-,Fluoride+AFs-0.98 Mg/l+AF0-,pH+AFs-7.25 PH+AF0-,TDS+AFs-521.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
18,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHUBI TOLA,NEAR ROAD / SC3991781,Deep Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.11 Mg/l+AF0-,Fluoride+AFs-0.53 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-299.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
19,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHUBI TOLA,NEAR CHABUTRA / SC5596091,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.62 Mg/l+AF0-,pH+AFs-7.12 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
20,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DHUBI TOLA,NEAR CHABUTRA / SC5596091,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.98 Mg/l+AF0-,pH+AFs-7.28 PH+AF0-,TDS+AFs-527.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
