"ID","District","Ac","Block","SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPL�ï�¿�½�Ã��ï�¿�½�Â�²�ï�¿�½�Ã�¯�ï�¿�½�Â�¿�ï�¿�½�Â�½)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"Supaul","CHATTAPUR ","Basantpur",1,"BALBHADARPUR ",3722,2377,199,1070,1269,3646,2576,0,101,101,26
2,"Supaul","CHATTAPUR ","Basantpur",2,"BANAILI PATTI ",3232,2589,551,5,556,3145,3140,0,32,32,32
3,"Supaul","CHATTAPUR ","Basantpur",3,"BASANTPUR ",3088,2094,740,0,740,2834,2834,0,15,15,71
4,"Supaul","CHATTAPUR ","Basantpur",4,"BHAGWANPUR ",2963,2221,399,6,405,2626,2620,0,0,0,0
5,"Supaul","CHATTAPUR ","Basantpur",5,"BHIMNAGAR ",3040,1647,1112,0,1112,2759,2759,0,0,0,116
6,"Supaul","CHATTAPUR ","Basantpur",6,"BISHANPUR SHIWRAM ",2943,1858,991,11,1002,2860,2849,0,13,13,71
7,"Supaul","CHATTAPUR ","Basantpur",7,"DENBANDHE ",3123,2746,365,0,365,3111,3111,0,1,1,2
8,"Supaul","CHATTAPUR ","Basantpur",8,"HIRDAY NAGAR ",3674,2356,1171,10,1181,3537,3527,0,100,100,14
9,"Supaul","CHATTAPUR ","Basantpur",9,"KOCHGAWAN ",3324,2552,707,2,709,3261,3259,0,0,0,0
10,"Supaul","CHATTAPUR ","Basantpur",10,"KUSAHAR ",3033,1946,388,590,978,2924,2334,0,35,35,6
11,"Supaul","CHATTAPUR ","Basantpur",11,"NIRMALI ",3037,2012,771,102,873,2885,2783,0,22,22,6
12,"Supaul","CHATTAPUR ","Basantpur",12,"PARMANANDPUR ",3276,2188,1047,3,1050,3238,3235,0,34,34,1
13,"Supaul","CHATTAPUR ","Basantpur",13,"RATANPUR ",3365,2401,0,1,1,2402,2401,0,0,0,40
14,"Supaul","CHATTAPUR ","Basantpur",14,"SATAN PATTI ",2945,2720,44,0,44,2764,2764,0,29,29,1
15,"Supaul","CHATTAPUR ","CHATTAPUR ",1,"BALUA ",2686,1801,460,284,744,2545,2261,0,48,48,8
16,"Supaul","CHATTAPUR ","CHATTAPUR ",2,"BHIMPUR ",2411,1270,854,0,854,2124,2124,0,37,37,0
17,"Supaul","CHATTAPUR ","CHATTAPUR ",3,"CHARNA ",2377,1263,580,133,713,1976,1843,0,20,20,0
18,"Supaul","CHATTAPUR ","CHATTAPUR ",4,"CHATAPUR ",3298,1674,291,194,485,2159,1965,0,0,0,27
19,"Supaul","CHATTAPUR ","CHATTAPUR ",5,"CHUNNI ",3350,2564,219,0,219,2783,2783,0,20,20,21
20,"Supaul","CHATTAPUR ","CHATTAPUR ",6,"DEHARIA ",2816,986,1010,0,1010,1996,1996,0,0,0,13
21,"Supaul","CHATTAPUR ","CHATTAPUR ",7,"GHIBAHA ",1758,1449,197,0,197,1646,1646,0,0,0,0
22,"Supaul","CHATTAPUR ","CHATTAPUR ",8,"GUWALPARA ",3270,1958,902,0,902,2860,2860,0,0,0,0
23,"Supaul","CHATTAPUR ","CHATTAPUR ",9,"JHAKHAR GARH ",3206,2952,102,0,102,3054,3054,0,1,1,0
24,"Supaul","CHATTAPUR ","CHATTAPUR ",10,"JIBACHH PUR ",2800,2175,393,0,393,2568,2568,0,76,76,57
25,"Supaul","CHATTAPUR ","CHATTAPUR ",11,"KATHARA ",3182,1834,1216,0,1216,3050,3050,0,4,4,21
26,"Supaul","CHATTAPUR ","CHATTAPUR ",12,"LALGANJ ",3124,2079,0,79,79,2158,2079,0,14,14,0
27,"Supaul","CHATTAPUR ","CHATTAPUR ",13,"LAXAMINIA ",3176,2410,475,0,475,2885,2885,0,31,31,25
28,"Supaul","CHATTAPUR ","CHATTAPUR ",14,"LAXAMIPUR KHUTI ",2147,1496,411,1,412,1908,1907,0,0,0,0
29,"Supaul","CHATTAPUR ","CHATTAPUR ",15,"MADHOPUR ",3279,2193,897,0,897,3090,3090,0,96,96,2
30,"Supaul","CHATTAPUR ","CHATTAPUR ",16,"MADHUBANI ",2565,2331,0,0,0,2331,2331,0,20,20,69
31,"Supaul","CHATTAPUR ","CHATTAPUR ",17,"MOHAMAD GANJ ",3022,1951,496,12,508,2459,2447,0,15,15,0
32,"Supaul","CHATTAPUR ","CHATTAPUR ",18,"RAJESHWARI EAST ",2473,546,1041,42,1083,1629,1587,0,1,1,0
33,"Supaul","CHATTAPUR ","CHATTAPUR ",19,"RAJESHWARI WEST ",2068,1726,93,0,93,1819,1819,0,0,0,0
34,"Supaul","CHATTAPUR ","CHATTAPUR ",20,"RAMPUR ",3559,3072,130,249,379,3451,3202,0,8,8,0
35,"Supaul","CHATTAPUR ","CHATTAPUR ",21,"SOHATHA ",3203,2122,808,21,829,2951,2930,0,28,28,49
36,"Supaul","CHATTAPUR ","CHATTAPUR ",22,"THUTHI ",2977,2774,42,0,42,2816,2816,0,48,48,26
37,"Supaul","CHATTAPUR ","CHATTAPUR ",23,"UDHAMPUR ",2529,1485,38,271,309,1794,1523,0,4,4,10
