id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,1,BALGANWA,BALGANWA,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963716)
2,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,2,KOTRAHA,KOTRAHA,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963722)
3,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,3,KOTRAHA,KOTRAHA,Deep tubewell,Ground Water,Inside Habitation,HandPump,BAGAHA SCHEME(0006561856)
4,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,4,KOTRAHA,KOTRAHA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662284)
5,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,5,LAXMIPUR,LAXMIPUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
6,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,6,LAXMIPUR,LAXMIPUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
7,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,7,LAXMIPUR,LAXMIPUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
8,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,8,LAXMIPUR,LAXMIPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543947)
9,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,9,PIPARA,ASERFI SAH KA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543948)
10,Pashchim Champaran,Valmiki Nagar,BAGHA 2,LAXMIPUR RAMPURWA,10,PIPARA,PIPARA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004772726)
