S. No.,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
1,BIHAR,SUPAUL,KISHANPUR,MOUJAHA,SUJANPUR,SAJANPUR,Inside Habitation / SC150087928,Shallow Tubewell,SUPAUL,06/04/2015,Iron+AFs-1.16 Mg/l+AF0-,+ACI-Fluoride+AFs-0.93 Mg/l+AF0-,pH+AFs-7.19 PH+AF0-,TDS+AFs-524.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
12,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC3927672,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.19 PH+AF0-,TDS+AFs-356.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
13,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC4621772,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.11 Mg/l+AF0-,Fluoride+AFs-0.55 Mg/l+AF0-,pH+AFs-7.21 PH+AF0-,TDS+AFs-288.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
14,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC47836,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.73 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
15,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MANDAL TOLA,SC49818,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-321.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
16,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,Inside Habitation / SC150085898,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.79 Mg/l+AF0-,pH+AFs-7.06 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
17,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,Inside Habitation / SC150090636,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-323.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
18,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,T/W 7 / SC150145511,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.73 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-362.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
19,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MIYA TOLA,Nc/Pc Scheme For Tribeniganjl Block / SC4436149,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.54 Mg/l+AF0-,pH+AFs-7.16 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
20,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,SC150002122,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.83 Mg/l+AF0-,pH+AFs-7.33 PH+AF0-,TDS+AFs-323.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
21,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Inside Habitation / SC150085897,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.66 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
22,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Inside Habitation / SC150090635,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.76 Mg/l+AF0-,pH+AFs-7.16 PH+AF0-,TDS+AFs-292.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
23,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Nc/Pc Scheme For Tribeniganjl Block / SC4436150,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.12 PH+AF0-,TDS+AFs-288.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
24,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,MUSHARI,Primary School Dumariya 20 / SC5015877,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-328.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
25,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,SC150002121,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.76 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-326.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
26,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,Inside Habitation / SC150085896,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.62 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-317.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
27,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,Inside Habitation / SC150090634,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.81 Mg/l+AF0-,pH+AFs-7.28 PH+AF0-,TDS+AFs-328.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
28,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,PASWAN TOLA,Nc/Pc Scheme For Tribeniganjl Block / SC4436151,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.15 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.25 PH+AF0-,TDS+AFs-392.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
29,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,Inside Habitation / SC150085901,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-328.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
30,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,Inside Habitation / SC150090638,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.71 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-312.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
31,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,T/W 8 / SC150145512,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.84 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-382.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
32,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,RAM TOLA,Nc/Pc Scheme For Tribeniganjl Block / SC4436152,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.74 Mg/l+AF0-,pH+AFs-7.22 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
33,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC150002119,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.22 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-329.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
34,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,Inside Habitation / SC150085894,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.17 Mg/l+AF0-,Fluoride+AFs-0.89 Mg/l+AF0-,pH+AFs-7.31 PH+AF0-,TDS+AFs-359.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
35,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,Inside Habitation / SC150085895,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.17 Mg/l+AF0-,Fluoride+AFs-0.81 Mg/l+AF0-,pH+AFs-7.22 PH+AF0-,TDS+AFs-316.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
36,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,Inside Habitation / SC150090633,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.68 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-345.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
37,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC1741663,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-317.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
38,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC3927670,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.15 PH+AF0-,TDS+AFs-326.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
39,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC4621770,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.12 PH+AF0-,TDS+AFs-311.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
40,BIHAR,SUPAUL,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC49270,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-322.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
41,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC150002117,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.46 Mg/l+AF0-,pH+AFs-7.32 PH+AF0-,TDS+AFs-382.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
42,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,Inside Habitation / SC150090851,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.74 Mg/l+AF0-,pH+AFs-7.25 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
43,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC2492489,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.17 Mg/l+AF0-,Fluoride+AFs-0.68 Mg/l+AF0-,pH+AFs-7.16 PH+AF0-,TDS+AFs-342.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
44,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC3927668,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.86 Mg/l+AF0-,pH+AFs-7.20 PH+AF0-,TDS+AFs-352.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
45,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC4621768,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-365.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
46,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,Community House Lachhminia 198 / SC5015871,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-285.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
47,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MAHTO TOLA,Inside Habitation / SC150090852,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.25 Mg/l+AF0-,Fluoride+AFs-0.74 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-351.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
48,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MAHTO TOLA,SC3927667,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-365.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
49,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MAHTO TOLA,SC4621767,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.69 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
50,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC150002116,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
51,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,Inside Habitation / SC150086166,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.68 Mg/l+AF0-,pH+AFs-7.15 PH+AF0-,TDS+AFs-352.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
52,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,Inside Habitation / SC150090854,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.57 Mg/l+AF0-,pH+AFs-7.28 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
53,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC1741670,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.69 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-327.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
54,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC3927666,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.73 Mg/l+AF0-,pH+AFs-7.21 PH+AF0-,TDS+AFs-346.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
55,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC4621766,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.63 Mg/l+AF0-,pH+AFs-7.08 PH+AF0-,TDS+AFs-317.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
56,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,SC150002115,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.28 PH+AF0-,TDS+AFs-368.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
57,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,Inside Habitation / SC150086165,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.65 Mg/l+AF0-,pH+AFs-7.12 PH+AF0-,TDS+AFs-341.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
58,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,Inside Habitation / SC150090853,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-362.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
59,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,SC1741678,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
60,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,SC3927665,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.21 PH+AF0-,TDS+AFs-345.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
61,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,SC4621765,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.18 Mg/l+AF0-,Fluoride+AFs-0.68 Mg/l+AF0-,pH+AFs-7.14 PH+AF0-,TDS+AFs-359.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
62,BIHAR,SUPAUL,TRIBENIGANJ,PILUWAHA,LACHHMINIA,YADAV TOLA,SC150002114,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-329.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
