id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
29,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,2,AMWA MAJHAR,AMWA BAGAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545555)
30,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,3,AMWA MAJHAR,AMWA MAJHAR,Shallow tubewell,Ground Water,Pachim Fulw ari Near Hanuman Mandir,HandPump,Majhauliya MMCY Scheme(0006500720)
31,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,4,AMWA MAJHAR,AMWA MAJHAR,Shallow tubewell,Ground Water,Chhauraha Reshmi Devi,HandPump,Majhauliya MMCY Scheme(0006500720)
32,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,5,AMWA MAJHAR,AMWA MAJHAR,Shallow tubewell,Ground Water,Raghunath Sah,HandPump,Majhauliya MMCY Scheme(0006500720)
33,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,6,AMWA MAJHAR,AMWA MAJHAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545556)
34,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,7,AMWA MAJHAR,DOME TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545557)
35,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,8,AMWA MAJHAR,JOKAHA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006549272)
36,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,9,AMWA MAJHAR,JOKAHA,Deep tubewell,Ground Water,HARIJAN TOLI,HandPump,MAJHAULIYA SCHEME(0006549272)
37,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,10,AMWA MAJHAR,JOKAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545558)
38,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,11,AMWA MAJHAR,MUSHHAR TOLI,Deep tubewell,Ground Water,Inside Habitation Tola,HandPump,Majhauliya Scheme(0007065609)
