Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,
1,BAIRIA,BERIA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,
2,BAIRIA,BERIA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
3,BAIRIA,BERIA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
4,BAIRIA,HARIZON TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
5,BAIRIA,HARIZON TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
6,BAIRIA,HARIZON TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
7,BAIRIA,HARIZON TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,
8,BAIRIA,HARIZON TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,
9,BAIRIA,MANDAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
10,BAIRIA,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,
11,BAIRIA,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,
12,BAIRIA,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,
13,BAIRIA,MINYA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,
14,BAIRIA,MINYA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
15,BAIRIA,MINYA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
16,BAIRIA,MINYA TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Source(0006544396)
17,BAIRIA,MUSAHARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406156)
18,BAIRIA,MUSAHARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406156)
19,BAIRIA,MUSAHARI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406156)
20,BAIRIA,YADAV TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406209)
21,BAIRIA,YADAV TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406209)
22,BAIRIA,YADAV TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406209)
23,GHIWAHA,BRAHAMAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530980)
24,GHIWAHA,BRAHAMAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530980)
25,GHIWAHA,BRAHAMAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530980)
26,GHIWAHA,BRAHAMAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006544428)
27,GHIWAHA,CHAMAR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530981)
