Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,
28,GHIWAHA,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530981)
29,GHIWAHA,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530981)
30,GHIWAHA,CHAMAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006544447)
31,GHIWAHA,CHAMAR TOLA 2,Deep Tubew ell,Ground Water,T/W 2,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
32,GHIWAHA,CHAMAR TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
33,GHIWAHA,CHAMAR TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
34,GHIWAHA,CHAMAR TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530982)
35,GHIWAHA,CHAMAR TOLA 2,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530982)
36,GHIWAHA,DHANUK TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530983)
37,GHIWAHA,DHANUK TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530983)
38,GHIWAHA,DHANUK TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530983)
39,GHIWAHA,DHANUK TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006545698)
40,GHIWAHA,DHOBI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446355)
41,GHIWAHA,DHOBI TOLA,Tubew ell,Ground Water,Habitation,HandPump,ARWSP(0001446355)
42,GHIWAHA,DHOBI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964934)
43,GHIWAHA,DHOBI TOLA,Shallow Tubew ell,Ground Water,Birandra Pasw an,HandPump,NC/PC(0001964934)
44,GHIWAHA,DHOBI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964934)
45,GHIWAHA,DOM TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530984)
46,GHIWAHA,DOM TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530984)
47,GHIWAHA,DOM TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530984)
48,GHIWAHA,DOM TOLA,Shallow Tubew ell,Ground Water,Inside Habitaion,HandPump,Spot Source(0006545772)
49,GHIWAHA,GIBHAHA,Deep Tubew ell,Ground Water,Community House 126,HandPump,Chhatapur Anganw adi Scheme(0005084771)
50,GHIWAHA,GIBHAHA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Anganw adi Scheme(0005084771)
51,GHIWAHA,GIBHAHA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964944)
52,GHIWAHA,GIBHAHA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964944)
53,GHIWAHA,HARIZON TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530985)
54,GHIWAHA,HARIZON TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530985)
55,GHIWAHA,HARIZON TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530985)
56,GHIWAHA,HARIZON TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006545738)
57,GHIWAHA,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446379)
58,GHIWAHA,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446379)
59,GHIWAHA,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446379)
60,GHIWAHA,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006545732)
61,GHIWAHA,MAUKH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964918)
62,GHIWAHA,MAUKH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964918)
63,GHIWAHA,MAUKH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964918)
64,GHIWAHA,PASWAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530986)
65,GHIWAHA,PASWAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530986)
66,GHIWAHA,PASWAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530986)
68,GHIWAHA,PASWAN TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
69,GHIWAHA,PASWAN TOLA 2,Deep Tubew ell,Ground Water,T/W 2,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
70,GHIWAHA,PASWAN TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
71,GHIWAHA,PASWAN TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530987)
72,GHIWAHA,PASWAN TOLA 2,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530987)
73,GHIWAHA,SAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964956)
74,GHIWAHA,SAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001964956)
75,GHIWAHA,SAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965003)
76,GHIWAHA,SAH TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965003)
77,GHIWAHA,SAH TOLA,Shallow Tubew ell,Ground Water,Daw an Mandal,HandPump,NC/PC(0001965003)
78,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446362)
79,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446362)
80,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446367)
81,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446367)
82,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406260)
83,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406260)
84,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406288)
85,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406288)
86,GHIWAHA,YADAV TOLA I,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406288)
87,GHIWAHA,YADAV TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406261)
88,GHIWAHA,YADAV TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406261)
89,GHIWAHA,YADAV TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406304)
90,GHIWAHA,YADAV TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406304)
91,GHIWAHA,YADAV TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406304)
92,GHIWAHA,YADAV TOLA III,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406298)
93,GHIWAHA,YADAV TOLA III,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406298)
94,GHIWAHA,YADAV TOLA III,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406305)
95,GHIWAHA,YADAV TOLA III,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406305)
96,GHIWAHA,YADAV TOLA III,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0002406305)
97,GHIWAHA,YADAV TOLA IV,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
98,GHIWAHA,YADAV TOLA IV,Deep Tubew ell,Ground Water,T/W 2,HandPump,
99,GHIWAHA,YADAV TOLA IV,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
100,GHIWAHA,YADAV TOLA IV,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
101,GHIWAHA,YADAV TOLA IV,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,
102,GHIWAHA,YADAV TOLA V,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
103,GHIWAHA,YADAV TOLA V,Deep Tubew ell,Ground Water,T/W 2,HandPump,
104,GHIWAHA,YADAV TOLA V,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
105,GHIWAHA,YADAV TOLA V,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
106,GHIWAHA,YADAV TOLA V,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,
107,GHIWAHA,YADAV TOLA VI,Deep Tubew ell,Ground Water,T/W 2,HandPump,
108,GHIWAHA,YADAV TOLA VI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
109,GHIWAHA,YADAV TOLA VI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,
110,GHIWAHA,YADAV TOLA VI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,
111,GHIWAHA,YADAV TOLA VI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,
