"ID","District","Ac","Block","SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPL�Ã�²�ï�¿�½)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"Saharsa","Saharsa","Kahara",1,"AMARPUR ",2572,1746,0,0,0,1746,1746,0,0,0,1
2,"Saharsa","Saharsa","Kahara",2,"BALHA PATTI ",2024,1004,118,278,396,1400,1122,0,15,15,0
3,"Saharsa","Saharsa","Kahara",3,"BANGAON EAST ",2679,1514,535,0,535,2049,2049,0,40,40,16
4,"Saharsa","Saharsa","Kahara",4,"BANGAON NORTH ",2178,1274,274,2,276,1550,1548,0,33,33,8
5,"Saharsa","Saharsa","Kahara",5,"BANGAON SOUTH ",2454,1857,195,1,196,2053,2052,0,54,54,18
6,"Saharsa","Saharsa","Kahara",6,"BARIYAHI ",2748,451,83,1345,1428,1879,534,0,3,3,0
7,"Saharsa","Saharsa","Kahara",7,"CHAINPUR ",2146,492,41,1366,1407,1899,533,0,53,53,0
8,"Saharsa","Saharsa","Kahara",8,"DIWARI ",2840,2079,10,14,24,2103,2089,0,22,22,0
9,"Saharsa","Saharsa","Kahara",9,"MOHANPUR ",2086,974,405,124,529,1503,1379,0,0,0,0
10,"Saharsa","Saharsa","Kahara",10,"MURLI BASANTPUR ",3304,813,186,102,288,1101,999,0,4,4,17
11,"Saharsa","Saharsa","Kahara",11,"NARIYAR ",2362,192,268,188,456,648,460,0,5,5,1
12,"Saharsa","Saharsa","Kahara",12,"PARARI ",1269,871,300,0,300,1171,1171,0,229,229,9
13,"Saharsa","Saharsa","Kahara",13,"PATUAHA ",1221,476,27,91,118,594,503,0,9,9,83
14,"Saharsa","Saharsa","Kahara",14,"SIRADE PATTI ",2813,1687,138,600,738,2425,1825,0,49,49,16
15,"Saharsa","Saharsa","Kahara",15,"SULINDABAD ",2319,1202,10,5,15,1217,1212,0,0,0,0
16,"Saharsa","Saharsa","Sour Bazaar",1,"AJGAIBA ",2368,1338,5,298,303,1641,1343,0,0,0,0
17,"Saharsa","Saharsa","Sour Bazaar",2,"BAIJNATHPUR ",1800,434,90,190,280,714,524,0,0,0,0
18,"Saharsa","Saharsa","Sour Bazaar",3,"CHANDAUR EAST ",2843,1796,11,0,11,1807,1807,0,40,40,38
19,"Saharsa","Saharsa","Sour Bazaar",4,"CHANDAUR WEST ",2408,215,1194,0,1194,1409,1409,0,0,0,0
20,"Saharsa","Saharsa","Sour Bazaar",5,"GAMHARIYA ",2557,1433,273,132,405,1838,1706,0,0,0,0
21,"Saharsa","Saharsa","Sour Bazaar",6,"KADHAIYA ",3503,1733,53,0,53,1786,1786,0,0,0,0
22,"Saharsa","Saharsa","Sour Bazaar",7,"KANP EAST ",1971,1350,82,0,82,1432,1432,0,0,0,0
23,"Saharsa","Saharsa","Sour Bazaar",8,"KANP WEST ",2423,1273,1,0,1,1274,1274,0,0,0,0
24,"Saharsa","Saharsa","Sour Bazaar",9,"KHAJURI ",3304,1485,730,270,1000,2485,2215,0,0,0,0
25,"Saharsa","Saharsa","Sour Bazaar",10,"NADO ",2601,1537,28,2,30,1567,1565,0,44,44,0
26,"Saharsa","Saharsa","Sour Bazaar",11,"RAMPUR ",2736,1092,207,311,518,1610,1299,0,9,9,1
27,"Saharsa","Saharsa","Sour Bazaar",12,"RAUTA KHEM ",2948,2090,54,1,55,2145,2144,0,0,0,0
28,"Saharsa","Saharsa","Sour Bazaar",13,"SAHURIYA EAST ",2792,1214,574,0,574,1788,1788,0,0,0,15
29,"Saharsa","Saharsa","Sour Bazaar",14,"SAHURIYA WEST ",2607,1677,496,0,496,2173,2173,0,0,0,26
30,"Saharsa","Saharsa","Sour Bazaar",15,"SAUR BAZAR ",3465,2100,16,0,16,2116,2116,0,7,7,13
31,"Saharsa","Saharsa","Sour Bazaar",16,"SUHATH ",3199,1738,412,11,423,2161,2150,0,0,0,3
32,"Saharsa","Saharsa","Sour Bazaar",17,"TIRI ",2623,1195,653,41,694,1889,1848,0,0,0,0
